index original,text H-ID,witness H-ID,document H-ID,ToCheck,Shelfmark,TRI,textAuthor-freetext,workTitle-freetext,textTitle-freetext,Form,siglum,witness_label,status,Settlement,repository,collection,idno,volume,range_pages,range_views,Digitisation,note,Scripta,Scripta_freetext,Scripta_source,Century,Date,date-freetext,Date-source,jonas_id,arlima_id,Remarques,arlima_ident,arlima_page,arlima_subentry,arlima_ms_reference
372,,,46048,FALSE,"Paris, Bibliothèque nationale de France, français 12558",Chevalier au cygne,,Chevalier au cygne,Première version en vers,verse,,,,Paris,Bibliothèque nationale de France,français,12558,,1r-58r,6-120,https://gallica.bnf.fr/ark:/12148/btv1b9060811h,,,Nord-est France,Arlima,,1256-1320,"Début 14e s. (ou vers 1260, Stones, 2013)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/45798,https://arlima.net/no/5302,,,,267,Le Chevalier au cygne
373,,,45921,FALSE,"Paris, Bibliothèque nationale de France, français 12569",Chevalier au cygne,,Chevalier au cygne,Première version en vers,verse,,,,Paris,Bibliothèque nationale de France,français,12569,,1r-84v,5-176,https://gallica.bnf.fr/ark:/12148/btv1b10033665m,,,,,,1276-1285,Vers 1280,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45801,https://arlima.net/no/4597,,,,267,Le Chevalier au cygne
374,,,45762,FALSE,"Paris, Bibliothèque nationale de France, français 1621",Chevalier au cygne,,Chevalier au cygne,Première version en vers,verse,,,,Paris,Bibliothèque nationale de France,français,1621,,1r-69r,3-72,https://gallica.bnf.fr/ark:/12148/btv1b9060717n,,,Nord-Est de la France (Picardie?),Jonas,,1246-1255,Vers 1250,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45635,https://arlima.net/no/6706,Localisation par la langue,,,267,Le Chevalier au cygne
375,,,46041,FALSE,"Paris, Bibliothèque nationale de France, français 786",Chevalier au cygne,,Chevalier au cygne,Première version en vers,verse,B,B,,Paris,Bibliothèque nationale de France,français,786,,105va-124va,216-254,https://gallica.bnf.fr/ark:/12148/btv1b52517821c,,,Picardie,,,1268,1268,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45553,https://arlima.net/no/3919,,,,267,Le Chevalier au cygne
376,,,45937,FALSE,"Paris, Bibliothèque nationale de France, français 795",Chevalier au cygne,,Chevalier au cygne,Première version en vers,verse,,,,Paris,Bibliothèque nationale de France,français,795,,5v,12,https://gallica.bnf.fr/ark:/12148/btv1b8419243k,Seulement les trois premières laisses.,,Italie (scripta) / Amiens ou Douai (iconographie),Jonas,,1251-1300,Seconde moitié du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45557,https://arlima.net/no/2466,,,,267,Le Chevalier au cygne
378,,,45495,FALSE,"Bruxelles, Bibliothèque royale, 10391",Chevalier au cygne,,Chevalier au cygne,Version en vers du XIVe siècle,verse,,,,Bruxelles,Bibliothèque royale,,10391,,,,NON NUMÉRISÉ,,,Pays-Bas méridionaux,,,1446-1460,vers 1450-55,Jonas,http://jonas.irht.cnrs.fr/manuscrit/76566,,,,,267,Le Chevalier au cygne
379,,,45538,FALSE,"Lyon, Bibliothèque municipale, 744",Chevalier au cygne,,Chevalier au cygne,Version en vers du XIVe siècle,verse,,,mutilated,Lyon,Bibliothèque municipale,,744,,,,NON NUMÉRISÉ,acephale,,,,,1469,Achevé le 9 mars 1469,Jonas,http://jonas.irht.cnrs.fr/manuscrit/32409,,,,,267,Le Chevalier au cygne
380,,,46027,FALSE,"Paris, Bibliothèque nationale de France, français 2154",chevalier du papegau,,,chevalier du papegau,prose,,,,Paris,Bibliothèque nationale de France,français,2154,,1-74v,4-78,https://gallica.bnf.fr/ark:/12148/btv1b9059015x,,,,,,1401-1450,Première moitié 15e,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74033,https://arlima.net/no/2483,,,,339,Le chevalier du papegeau
381,,,45566,FALSE,"London, British Library, Additional 36615",chretienté Corbaran,,,chretienté Corbaran,verse,I,I,,London,British Library,Additional,36615,,"146r-153v, déb. XIV",,NON NUMÉRISÉ,,,,,,1301-1350,Début du XIVe siècle (Arlima); 1re moitié du 14e (Jonas),Jonas,http://jonas.irht.cnrs.fr/manuscrit/30095,https://arlima.net/no/9266,Texte non mentionné dans la notice,,,922,La chretienté Corbaran
382,,,45678,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3139",chretienté Corbaran,,,chretienté Corbaran,verse,G,G,,Paris,Bibliothèque nationale de France,Arsenal,3139,,"231r-243v, 1268",,NON NUMÉRISÉ,,,,,,1268,1268,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42940,https://arlima.net/no/9275,Texte non mentionné dans la notice,,,922,La chretienté Corbaran
383,,,45921,FALSE,"Paris, Bibliothèque nationale de France, français 12569",chretienté Corbaran,,,chretienté Corbaran,verse,E,E,,Paris,Bibliothèque nationale de France,français,12569,,215v-221r,440-451,https://gallica.bnf.fr/ark:/12148/btv1b10033665m,,,,,,1276-1285,Vers 1280,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45801,https://arlima.net/no/4597,,,,922,La chretienté Corbaran
8,,,45522,FALSE,"Bruxelles, Bibliothèque royale, 9068",Chroniques et Conquestes de Charlemagne,David Aubert,Aimeri de Narbonne + others,Chroniques et Conquestes de Charlemagne,prose,,,translation or rewriting,Bruxelles,Bibliothèque royale,,9068,,,,https://uurl.kbr.be/1752834,,,,,,1458-1460,1458-1460,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74051,,,,,677,Aimeri de Narbonne
384,723,,45900,FALSE,"Paris, Bibliothèque nationale de France, français 1637",Ciperis de Vignevaux,,Ciperis de Vignevaux,Première version en alexandrins,verse,,,,Paris,Bibliothèque nationale de France,français,1637,,52r-142v,53-146,https://gallica.bnf.fr/ark:/12148/btv1b90593186,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45640,,,,,933,Ciperis de Vignevaux
385,723,,45912,FALSE,"Paris, Bibliothèque nationale de France, français 24726",Ciperis de Vignevaux,,Ciperis de Vignevaux,Première version en alexandrins,verse,,,citation,Paris,Bibliothèque nationale de France,français,24726,,??,,https://gallica.bnf.fr/ark:/12148/btv1b8427283r,Extraits copiés par Claude Fauchet,,,,,1555,1555,Arlima,http://jonas.irht.cnrs.fr/manuscrit/78318,,,,,933,Ciperis de Vignevaux
387,723,,45912,FALSE,"Paris, Bibliothèque nationale de France, français 24726",Ciperis de Vignevaux,,Ciperis de Vignevaux,Seconde version en alexandrins,verse,,,citation,Paris,Bibliothèque nationale de France,français,24726,,??,,https://gallica.bnf.fr/ark:/12148/btv1b8427283r,Extraits copiés par Claude Fauchet,,,,,1555,1555,Arlima,http://jonas.irht.cnrs.fr/manuscrit/78318,,,,,933,Ciperis de Vignevaux
389,48677,,45528,FALSE,"Bruxelles, Bibliothèque royale, 3576-3577",Ciperis de Vignevaux,,Ciperis de Vignevaux,Version en prose,prose,,,mutilated,Bruxelles,Bibliothèque royale,,3576-3577,,1r-93r,1r-93r,https://uurl.kbr.be/1558554,,,Nord-Est de la France,,,1446-1466,"vers 1450-60, en tous cas avant 1467",,http://jonas.irht.cnrs.fr/manuscrit/10189,https://arlima.net/no/5536,,,,933,Ciperis de Vignevaux
1884,,,45710,FALSE,"Paris, Bibliothèque nationale de France, français 1447",Claris et Laris,,,roumanz de Claris et Laris,verse,,,,Paris,Bibliothèque nationale de France,français,1447,,67r-256v,143-524,https://gallica.bnf.fr/ark:/12148/btv1b10509655q,,,Paris,Mandragore,,1286-1295,Vers 1290,Jonas,http://jonas.irht.cnrs.fr/manuscrit/73301,https://arlima.net/no/2416,,,,936,Le roumanz de Claris et Lariz
390,620,,45759,FALSE,"Paris, Bibliothèque nationale de France, français 1451",Clarisse et Florent,,Clarisse et Florent,Version en alexandrins,verse,,,,Paris,Bibliothèque nationale de France,français,h,,???,,https://gallica.bnf.fr/ark:/12148/btv1b90596595,,,,,,1401-1500,XVe,Jonas,http://jonas.irht.cnrs.fr/manuscrit/73971,https://arlima.net/no/5390,,,,937,Clarisse et Florent
391,619,,47262,FALSE,"Torino, Biblioteca nazionale universitaria, L. II. 14 (1639)",Clarisse et Florent,,Clarisse et Florent,Version en décasyllabes,verse,,,,Torino,Biblioteca nazionale universitaria,,L. II. 14 (1639),,374rb - 389va,,https://arca.irht.cnrs.fr/ark:/63955/rlu3usz7sf7x,,,Vermandois (Saint-Quentin?),Jonas,,1311,achevé en juin 1311,Jonas,http://jonas.irht.cnrs.fr/manuscrit/59028,https://arlima.net/no/5394,Localisation par le contenu et l'iconographie,,,937,Clarisse et Florent
393,,,45591,FALSE,"Bern, Burgerbibliothek, Cod. 238",Cleomadés,Adenet le Roi,,Cleomadés,verse,S,S,,Bern,Burgerbibliothek,,Cod. 238,,?,,NON NUMÉRISÉ,,,,,,1401-1500,XV e siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/8105,https://arlima.net/no/12742,,,,248,Adenet le Roi
394,,,,FALSE,"Bruxelles, Bibliothèque royale, 20407",Cleomadés,Adenet le Roi,,Cleomadés,,,,fragment,Bruxelles,Bibliothèque royale,,20407,,,,,,,,,,,,,https://jonas.irht.cnrs.fr/manuscrit/75435,,,,,,
395,,,45526,FALSE,"Bruxelles, Bibliothèque royale, II 07444",Cleomadés,Adenet le Roi,,Cleomadés,,,,,Bruxelles,Bibliothèque royale,,II 07444,,,,,,,,,,1401-1500,15e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/75437,,,,,,
396,,,45524,FALSE,"Bruxelles, Bibliothèque royale, IV 00319",Cleomadés,Adenet le Roi,,Cleomadés,,,,,Bruxelles,Bibliothèque royale,,IV 00319,,,,,,,,,,1326-1350,2e quart 14e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/10712,,,,,,
397,,,45188,FALSE,"Cologny (Genève), Fondation Martin Bodmer, 1",Cleomadés,Adenet le Roi,,Cleomadés,verse,,,,Cologny (Genève),Fondation Martin Bodmer,,1,,1ra-133rb,1r-133r,https://www.e-codices.ch/en/list/one/fmb/cb-0001,,,,,,1281-1300,Fin XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/17479,https://arlima.net/no/9086,,,,248,Adenet le Roi
398,,,45641,FALSE,"Paris, Bibliothèque de l'Institut de France, 636",Cleomadés,Adenet le Roi,,Cleomadés,verse,Q,Q,,Paris,Bibliothèque de l'Institut de France,,636,,??,,NON NUMERISE,,,,,,1401-1500,Xve siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/43240,,DOI : https://doi.org/10.3406/roma.1985.1750,,,11075,Adenet le Roi
399,,,45662,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3142",Cleomadés,Adenet le Roi,,Cleomadés,verse,,,,Paris,Bibliothèque nationale de France,Arsenal,3142,,1-72r,13-155,https://gallica.bnf.fr/ark:/12148/btv1b55003999w,,,Île-de-France,Arlima,,1281-1300,Fin du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42943,https://arlima.net/no/499,,,,248,Adenet le Roi
400,,,46014,FALSE,"Paris, Bibliothèque nationale de France, français 1455",Cleomadés,Adenet le Roi,,Cleomadés,verse,,,,Paris,Bibliothèque nationale de France,français,1455,,1r-??,3-??,https://gallica.bnf.fr/ark:/12148/btv1b10032781p,,,,,,1301-1320,Début XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75480,https://arlima.net/no/4595,,,,248,Adenet le roi
401,,,46016,FALSE,"Paris, Bibliothèque nationale de France, français 1456",Cleomadés,Adenet le Roi,,Cleomadés,verse,O,O,,Paris,Bibliothèque nationale de France,français,1456,,1r-150v,7-306,https://gallica.bnf.fr/ark:/12148/btv1b10520635d,,,,,,1301-1350,Première moitié XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75481,https://arlima.net/no/4594,,,,248,Adenet le roi
402,,,45875,FALSE,"Paris, Bibliothèque nationale de France, français 19165",Cleomadés,Adenet le Roi,,Cleomadés,verse,P,P,,Paris,Bibliothèque nationale de France,français,19165,,38r-389v,,NON NUMERISE,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75061,https://arlima.net/no/4262,,,,11075,Adenet le roi
403,,,45731,TRUE,"Paris, Bibliothèque nationale de France, français 24404",Cleomadés,Adenet le Roi,,Cleomadés,verse,,,,Paris,Bibliothèque nationale de France,français,24404,,1-168,2-170,https://gallica.bnf.fr/ark:/12148/btv1b9063721g,,,Arras,Mandragore,,1281-1400,"XIVe s. (ou fin du XIIIe s. pour Grenier-Winther, 2010)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/45917,https://arlima.net/no/5197,,,,248,Adenet le Roi
404,,,45801,FALSE,"Paris, Bibliothèque nationale de France, français 24405",Cleomadés,Adenet le Roi,,Cleomadés,verse,I,I,,Paris,Bibliothèque nationale de France,français,24405,,26ra-132ra,55-268,https://gallica.bnf.fr/ark:/12148/btv1b90637202,,,France(Nord),Mandragore,,1381-1420,fin XIVe-début XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/73179,https://arlima.net/no/5198,,,,248,Adenet le Roi
405,,,45914,FALSE,"Paris, Bibliothèque nationale de France, français 24430",Cleomadés,Adenet le Roi,,Cleomadés,verse,J,J,,Paris,Bibliothèque nationale de France,français,24430,,1ra-58vb,9 à 67,https://gallica.bnf.fr/ark:/12148/btv1b9057314x,,,Tournai,Jonas,,1281-1400,fin XIIIe-XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45920,https://arlima.net/no/2942,Localisation par iconographie et contenu,,,11075,Adenet le roi
406,,,46082,FALSE,"Paris, Bibliothèque nationale de France, NAF 5094",Cleomadés,Adenet le Roi,,Cleomadés,verse,,,fragment,Paris,Bibliothèque nationale de France,nouvelles acquisitions françaises,5094,,18-22,45-53,https://gallica.bnf.fr/ark:/12148/btv1b6000371s,,,,,,1201-1400,XIIIe-XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/48114,https://arlima.net/no/6381,,,,248,Adenet le Roi
407,,,45496,FALSE,"Bruxelles, Bibliothèque royale, IV 01002",Cleriadus et Meliadice,,,Cleriadus et Meliadice,,,,,Bruxelles,Bibliothèque royale,,IV 01002,,,,,,,,,,1391-1500,"entre 1390 et 1460 (Zink, 1984) ou 2e moitié du 15e s (Cinq années d'acquisition, 1979)",Jonas,https://jonas.irht.cnrs.fr/manuscrit/74529,,,,,,
409,,,45090,TRUE,"Chantilly, Bibliothèque du Château, 650 (1437)",Cleriadus et Meliadice,,,Cleriadus et Meliadice,prose,,,,Chantilly,Bibliothèque du Château,,650 (1437),,1r-128r,6-134,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/393/manifest,,,,,,1401-1500,XVe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/14893,https://arlima.net/no/8730,,,,24,Cleriadus et Meliadice
410,,,45234,TRUE,"Leipzig, Universitätsbibliothek, Bibliotheca Albertina Rep. II. f°.109",Cleriadus et Meliadice,,,Cleriadus et Meliadice,,,,,Leipzig,Universitätsbibliothek,Bibliotheca Albertina,Rep. II. f°.109,,,,,,,,,,1436-1500,"15e, après 1435 (date de l'oeuvre)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/73163,,,,,,
412,,,45833,FALSE,"Paris, Bibliothèque nationale de France, français 1439",Cleriadus et Meliadice,,,Cleriadus et Meliadice,prose,,,,Paris,Bibliothèque nationale de France,français,1439,,1r-378v,4-375,https://gallica.bnf.fr/ark:/12148/btv1b90581119,,,,,,1401-1500,Xve siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/74375,https://arlima.net/no/4492,,,,24,Cleriadus et Meliadice
413,,,45850,FALSE,"Paris, Bibliothèque nationale de France, français 1440",Cleriadus et Meliadice,,,Cleriadus et Meliadice,prose,,,mutilated,Paris,Bibliothèque nationale de France,français,1440,,1r-287v,2-290,https://gallica.bnf.fr/ark:/12148/btv1b9058110w,incomplet au commencement,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74376,https://arlima.net/no/4493,,,,24,Cleriadus et Meliadice
414,,,45842,FALSE,"Paris, Bibliothèque nationale de France, français 1494",Cleriadus et Meliadice,,,Cleriadus et Meliadice,prose,,,,Paris,Bibliothèque nationale de France,français,1494,"1494-1495, vol. 1",1r-113v,2-115,https://gallica.bnf.fr/ark:/12148/btv1b9058093t,,,,,,1435-1500,"Après 1435-1445 (date de l'œuvre), XVe siècle",Arlima,http://jonas.irht.cnrs.fr/manuscrit/74377,https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/1494-1495.html,,,,24,Cleriadus et Meliadice
415,,,46020,FALSE,"Paris, Bibliothèque nationale de France, français 1495",Cleriadus et Meliadice,,,Cleriadus et Meliadice,prose,,,,Paris,Bibliothèque nationale de France,français,1495,"1494-1495, vol. 2",5r-197r,2-193,https://gallica.bnf.fr/ark:/12148/btv1b90580947,,,,,,1435-1500,"Après 1435-1445 (date de l'œuvre), XVe siècle",Arlima,http://jonas.irht.cnrs.fr/manuscrit/74377,https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/1494-1495.html,,,,24,Cleriadus et Meliadice
416,,,,FALSE,"Torino, Biblioteca nazionale universitaria, L. II. 2 (1628)",Cleriadus et Meliadice,,,Cleriadus et Meliadice,,,,,Torino,Biblioteca nazionale universitaria,,L. II. 2 (1628),,,,,,,,,,1401-1500,15e s.,Arlima,https://jonas.irht.cnrs.fr/manuscrit/59026,https://arlima.net/no/13634,,,,,
417,,,45423,FALSE,"Tours, Bibliothèque municipale, 952",Cleriadus et Meliadice,,,Cleriadus et Meliadice,prose,,,,Tours,Bibliothèque municipale,,952,,1r-325v,,NON NUMERISE,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/60326,https://arlima.net/no/7203,,,,24,Cleriadus et Meliadice
418,,,45226,FALSE,"Wien, Österreichische Nationalbibliothek, 3427",Cleriadus et Meliadice,,,Cleriadus et Meliadice,,,,,Wien,Oesterreichische Nationalbibliothek,,3427,,,,,,,,,,1401-1500,15e,Arlima,,,,,,,https://arlima.net/no/11439
419,48747,,45160,FALSE,"Firenze, Biblioteca Riccardiana e Moreniana, 2756",Cligés,Chrétien de Troyes,,Cligés,verse,F [Méla et Collet]; d [Micha],,fragment,Firenze,Biblioteca Riccardiana e Moreniana,,2756,,,,,,francoit.,Italie,Arlima,,1251-1300,deuxième moitié du 13e,Jonas,https://jonas.irht.cnrs.fr/manuscrit/21655,,,,,,
420,48747,,45371,TRUE,"Oxford, Bodleian Library, Michael 569",Cligés,Chrétien de Troyes,,Cligés,verse,O [Méla et Collet]; c [Micha],,fragment,Oxford,Bodleian Library,Michael,569,,,,,,,Nord de la France (Lille?),Arlima,,1301-1320,Début 14e,Jonas,http://jonas.irht.cnrs.fr/manuscrit/76414,,,,,,
1114,48747,,45642,FALSE,"Paris, Bibliothèque de l'Institut de France, 6138 (olim 4676)",Cligés,Chrétien de Troyes,,Cligés,verse,I [Méla et Collet]; e [Micha],I,fragment,Paris,Bibliothèque de l'Institut de France,,6138  (olim 4676),,??,,NON NUMERISE,"Fragment, vers 3433-3764",Ouest,Ouest mil. 13es.,DÉAF,,1201-1250,Début ou 1re moitié du 13e s.,Stewart,"http://jonas.irht.cnrs.fr/manuscrit/43324, http://jonas.irht.cnrs.fr/manuscrit/76415",https://arlima.net/no/6034,,,,7,Chretien de Troyes
545,48747,,45925,TRUE,"Paris, Bibliothèque nationale de France, français 375",Cligés,Chrétien de Troyes,,Cligés,verse,P,,,Paris,Bibliothèque nationale de France,français,375,,267 - 281,,https://gallica.bnf.fr/ark:/12148/btv1b10510319x,,pic.,région d’Arras (Jonas); pic. ca. 1300 (DÉAF),Jonas,,1288-1317,"Achevé le 2 février 1288, mais Jonas dit 1289-1317","Arlima, Jonas",http://jonas.irht.cnrs.fr/manuscrit/45527,https://arlima.net/no/527,,,,7,Chretien de Troyes
,48747,,45743,FALSE,"Paris, Bibliothèque nationale de France, français 794",Cligés,Chrétien de Troyes,,Cligés,verse,A,,,Paris,Bibliothèque nationale de France,français,794,,,,https://gallica.bnf.fr/ark:/12148/btv1b84272526,,champ.,"Champagne, champ. ca. 1235 DÉAF",Jonas,,1226-1235,vers 1230,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45556,https://arlima.net/no/528,,,,,
,48747,,45708,FALSE,"Paris, Bibliothèque nationale de France, français 1420",Cligés,Chrétien de Troyes,,Cligés,verse,R,,,Paris,Bibliothèque nationale de France,français,1420,,30r - 57v,,https://gallica.bnf.fr/ark:/12148/btv1b10549440j,,Ouest,Île-de-France (f. 1-57); Angleterre (f. 58-59); traits du Sud-Ouest fin 13es. (DÉAF),Arlima,,1241-1260,Milieu XIIIe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/75478,https://arlima.net/no/4477,,,,,
422,48747,,45827,TRUE,"Paris, Bibliothèque nationale de France, français 12560",Cligés,Chrétien de Troyes,,Cligés,verse,C,C,,Paris,Bibliothèque nationale de France,français,12560,,83va-122rb,173-250,https://gallica.bnf.fr/ark:/12148/btv1b105494321,,champ.,Champagne; champ. mil. 13es.,Jonas,,1241-1260,1241-1260,BnF AetM,http://jonas.irht.cnrs.fr/manuscrit/45800,https://arlima.net/no/5306,Localisation d'après bibliographie,,,7,Chretien de Troyes
423,48747,,45863,FALSE,"Paris, Bibliothèque nationale de France, français 1374",Cligés,Chrétien de Troyes,,Cligés,verse,S,S,mutilated,Paris,Bibliothèque nationale de France,français,1374,,21v-65,50-136,https://gallica.bnf.fr/ark:/12148/btv1b52511599n,la fin manque en raison de la perte d'un feuillet,frpr.,Sud et/ou ouest de la France (Bourgogne ou Lyonnais?); frpr. ca. 1260,"Arlima, DÉAF",,1201-1250,Première moitié du XIIIe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/45603,https://arlima.net/no/531,,,,10304,Le roman de Cligès
424,48747,,45757,FALSE,"Paris, Bibliothèque nationale de France, français 1450",Cligés,Chrétien de Troyes,,Cligés,verse,"B [Foerster, Méla et Collet]; R [Micha]","B [Foerster, Méla et Collet]; R [Micha]",,Paris,Bibliothèque nationale de France,français,1450,,188v-207v,386-424,https://gallica.bnf.fr/ark:/12148/btv1b8415202d,,pic.,Picardie; pic. 2eq. 13es.,"Jonas, DÉAF",,1226-1250,"Deuxième quart du XIIIe siècle, vers 1240 ?","Jonas (Jung, 1996)",http://jonas.irht.cnrs.fr/manuscrit/45613,https://arlima.net/no/529,Localisation d'après la bibliographie,,,7,Chretien de Troyes
,48747,,,,"Paris, Bibliothèque nationale de France, NAF 29060",Cligés,Chrétien de Troyes,,Cligés,verse,N [Méla et Collet]; a [Micha],N,fragment,Paris,Bibliothèque nationale de France,nouvelles acquisitions françaises,29060,,,,http://gallica.bnf.fr/ark:/12148/btv1b52520460z,,champ.,Champagne ou Bourgogne; champ. déb. 13es.,"Arlima, DÉAF",,1181-1220,Fin 12e ou début 13e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/83470,https://arlima.net/no/10482,,,,,
425,48747,,,FALSE,"Torino, Biblioteca nazionale universitaria, L. I. 13 (1626)",Cligés,Chrétien de Troyes,,Cligés,verse,,,,Torino,Biblioteca nazionale universitaria,,L. I. 13 (1626),,,,,,pic. sept.: hain.,hain. 2eq. 14es.,DÉAF,,1301-1360,"1ère moitié du 14e s. (Lachet, 2014), milieu 14e s. (Holden, 1983)",Jonas,https://jonas.irht.cnrs.fr/manuscrit/59025,,,,,,
426,48747,,45422,FALSE,"Tours, Bibliothèque municipale, 942",Cligés,Chrétien de Troyes,,Cligés,verse,M [Méla et Collet]; a [Micha],M,mutilated,Tours,Bibliothèque municipale,,942,,1v-59v,,NON NUMERISE,Manuscrit lacunaire: environ 3000 vers,Ouest: ang.,ang. déb. 13es.,DÉAF,,1201-1220,début XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/60316,https://arlima.net/no/7204,,,,7,Chretien de Troyes
427,,,45625,FALSE,"Bern, Burgerbibliothek, 320",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,,,mutilated,Bern,Burgerbibliothek,,320,,"81-82, 92-103, 84-85, 88-89, 90-91, 86-87, 83, 77",,NON NUMÉRISÉ,Incomplet du début et de la fin + nombreuses lacunes,,,,,1201-1400,XIIIe-XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/8178,https://arlima.net/no/11912,,,,300,La conqueste de Jerusalem
428,,,45566,FALSE,"London, British Library, Additional 36615",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,,,,London,British Library,Additional,36615,,101v-146,,NON NUMÉRISÉ,,,,,,1301-1350,Début du XIVe siècle (Arlima); 1re moitié du 14e (Jonas),Jonas,http://jonas.irht.cnrs.fr/manuscrit/30095,https://arlima.net/no/9266,,,,300,La conqueste de Jerusalem
429,,,45346,TRUE,"Oxford, Bodleian Library, Douce 381",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,E,,fragment,Oxford,Bodleian Library,Douce,381,,,,Partielle : https://digital.bodleian.ox.ac.uk/objects/98f1b5a6-045b-4282-b123-35c4443932a2/,Fragment.,,,,,1276-1305,vers la fin du XIII s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/40279,https://arlima.net/no/9051,Seulement f. 13r : https://digital.bodleian.ox.ac.uk/objects/98f1b5a6-045b-4282-b123-35c4443932a2/,,,300,La conqueste de Jerusalem
430,,,45678,TRUE,"Paris, Bibliothèque nationale de France, Arsenal 3139",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,B,B,,Paris,Bibliothèque nationale de France,Arsenal,3139,,170vb-231ra,,NON NUMÉRISÉ,,,,,,1268,1268,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42940,https://arlima.net/no/9275,Numérisation partielle,,,300,La conqueste de Jerusalem
431,,,46048,FALSE,"Paris, Bibliothèque nationale de France, français 12558",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,A,A,,Paris,Bibliothèque nationale de France,français,12558,,136v-192v,284-402,https://gallica.bnf.fr/ark:/12148/btv1b9060811h,,,Nord-est France,Arlima,,1256-1320,"Début 14e s. (ou vers 1260, Stones, 2013)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/45798,https://arlima.net/no/5302,,,,300,La conqueste de Jerusalem
432,,,45921,FALSE,"Paris, Bibliothèque nationale de France, français 12569",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,G,G,,Paris,Bibliothèque nationale de France,français,12569,,159r-216v,325-440,https://gallica.bnf.fr/ark:/12148/btv1b10033665m,,,,,,1276-1285,Vers 1280,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45801,https://arlima.net/no/4597,,,,300,La conqueste de Jerusalem
433,,,45762,FALSE,"Paris, Bibliothèque nationale de France, français 1621",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,F,F,,Paris,Bibliothèque nationale de France,français,1621,,152v-207v,156-211,https://gallica.bnf.fr/ark:/12148/btv1b9060717n,,,Nord-Est de la France (Picardie?),Jonas,,1246-1255,Vers 1250,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45635,https://arlima.net/no/6706,Localisation par la langue,,,300,La conqueste de Jerusalem
434,,,46041,FALSE,"Paris, Bibliothèque nationale de France, français 786",Conqueste de Jerusalem,,,Conqueste de Jerusalem,verse,C,C,,Paris,Bibliothèque nationale de France,français,786,,232v-273r,470-551,https://gallica.bnf.fr/ark:/12148/btv1b52517821c,,,Picardie,,,1268,1268,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45553,https://arlima.net/no/3919,,,,300,La conqueste de Jerusalem
